model,google/gemma-3-4b_theta,gpt-3.5-turbo_theta,google/gemini-2.5-flash-preview-05-20_theta
GPT4o-mini,1.6152186720671218,2.840091638854734,1.1003215435655327
gemma-2-9b-checkpoint-9000-inputs-refs-preds-examples_2500,1.0997470115853971,1.5891861544936277,0.9707595902050186
gemma-2b-checkpoint-5000-inputs-refs-preds-examples_2500,0.8210411447692332,0.6033870306477888,0.9307452362131874
llama-2-13b-chat-norwegian-checkpoint-3000-inputs-refs-preds-examples_2500,1.621184001350069,1.5596155651551886,0.9969063740260939
llama-3.1-8b-instruct-checkpoint-500-inputs-refs-preds-examples_2500,1.1350769787803079,0.8525109239606168,1.0108878962526877
nb-gpt-j-6b-checkpoint-3000-inputs-refs-preds-examples_2500,0.6909321133339533,0.5000989678290999,0.9681328154340507
normistral-11b-checkpoint-1000-inputs-refs-preds-examples_2500,0.6372189015559342,0.8368072233891348,1.06058938665517
norskgpt-llama3-8b-checkpoint-500-inputs-refs-preds-examples_2500,0.90547104234451,0.6411242754644265,0.9568161296033832
norwai-mistral-7b-instruct-checkpoint-8000-inputs-refs-preds-examples_2500,0.5915990623584629,0.6793084156852042,0.9210289311932484
viking-13b-checkpoint-4000-inputs-refs-preds-examples_2500,1.5798915124407875,1.5152657071531614,1.1030533667542406
