model,google/gemma-3-4b_theta,gpt-3.5-turbo_theta,google/gemini-2.5-flash-preview-05-20_theta,anthropic/claude-3-5-haiku-20241022_theta
GPT4o-mini,1.3793196263968412,3.432690357207007,7.622541329442266,3888144.2954696617
gemma-2-9b-checkpoint-9000-inputs-refs-preds-examples_2500,1.6008399082565923,4.547013727327584,1.7433103658154803,0.42399383925988193
gemma-2b-checkpoint-5000-inputs-refs-preds-examples_2500,1.4427407128872027,0.40806539215567295,0.2184177828281036,0.08151528524665289
llama-2-13b-chat-norwegian-checkpoint-3000-inputs-refs-preds-examples_2500,0.9153747401183895,1.7116465462127561,2.0185159093688974,1.4557611436441562
llama-3.1-8b-instruct-checkpoint-500-inputs-refs-preds-examples_2500,1.5058135669312038,0.7348208812619699,0.9586125876167072,0.4174182000445991
nb-gpt-j-6b-checkpoint-3000-inputs-refs-preds-examples_2500,0.5952636785549124,0.14612780387942342,0.12406454907718101,0.03613542842997967
normistral-11b-checkpoint-1000-inputs-refs-preds-examples_2500,0.7838978723855186,2.4269085477459567,0.9042405953749569,0.1755909467010667
norskgpt-llama3-8b-checkpoint-500-inputs-refs-preds-examples_2500,0.7103542611668798,0.20281654956829553,1.3768730135335054,0.06145579066935763
norwai-mistral-7b-instruct-checkpoint-8000-inputs-refs-preds-examples_2500,0.6126950586369129,0.9908920300696192,1.97746988645883,0.1370496802076556
viking-13b-checkpoint-4000-inputs-refs-preds-examples_2500,1.1213482958908836,1.7514501038154486,0.5829438605470559,0.22915078924977308
