model,google/gemma-3-4b_theta,gpt-3.5-turbo_theta,google/gemini-2.5-flash-preview-05-20_theta,anthropic/claude-3-5-haiku-20241022_theta,mistral-medium-latest_theta
GPT4o-mini,1.7862960600178994,6.466051871215519,1474592.6963432839,14.831076424402495,7.870783951275446
gemma-2-9b-checkpoint-9000-inputs-refs-preds-examples_2500,1.6491885178769006,2.759895433505655,0.3301465916881999,1.5067839569904595,1.8759675215456935
gemma-2b-checkpoint-5000-inputs-refs-preds-examples_2500,1.053724350976419,0.33699763360650653,0.15398742305519184,0.5532838935834652,0.2977408424527333
llama-2-13b-chat-norwegian-checkpoint-3000-inputs-refs-preds-examples_2500,0.7338790749169481,1.3723807472855591,0.4895974077882521,3.235781611688356,3.301505242911829
llama-3.1-8b-instruct-checkpoint-500-inputs-refs-preds-examples_2500,2.184390050606118,1.1553290126050102,0.21164459579463302,2.497619063526521,1.9872022033511136
nb-gpt-j-6b-checkpoint-3000-inputs-refs-preds-examples_2500,0.789527033379542,0.2260177569301342,0.029826372353000556,0.13404309733424252,0.038684922309248186
normistral-11b-checkpoint-1000-inputs-refs-preds-examples_2500,0.8113138414655979,2.521973611039049,0.1291460023802904,0.6377682191177011,1.166850419500814
norskgpt-llama3-8b-checkpoint-500-inputs-refs-preds-examples_2500,0.36539518690881584,0.20283986702129048,0.23190405961885147,0.1669672450344102,0.7642161557530434
norwai-mistral-7b-instruct-checkpoint-8000-inputs-refs-preds-examples_2500,0.5722140577111623,0.4712533044777292,0.7606220632237006,0.48726311082101503,0.49212533536803005
viking-13b-checkpoint-4000-inputs-refs-preds-examples_2500,1.5004354296960554,1.9247317750969375,0.18946582535063852,1.438867374152142,2.0422804273049118
