model,google/gemma-3-4b_theta,gpt-3.5-turbo_theta,google/gemini-2.5-flash-preview-05-20_theta,anthropic/claude-3-5-haiku-20241022_theta,mistral-medium-latest_theta
GPT4o-mini,2.5353924537535786,1.5925399253308616,2.5010699265327676,4.754397751465073,4.056857900079547
gemma-2-9b-checkpoint-9000-inputs-refs-preds-examples_2500,1.0471254260196732,2.3112216207148175,3.205358729767483,3.021092611020296,1.5699627881840177
gemma-2b-checkpoint-5000-inputs-refs-preds-examples_2500,0.8327579467465166,0.5287651503870271,0.44493553463494967,0.7094840153177914,0.437985816072462
llama-2-13b-chat-norwegian-checkpoint-3000-inputs-refs-preds-examples_2500,0.6451992219087697,1.0963944110083252,2.1615548567296705,0.9272437570487758,1.1805220809410246
llama-3.1-8b-instruct-checkpoint-500-inputs-refs-preds-examples_2500,1.5419409907948878,0.8334309014382225,0.9514217502464835,1.1197431750354352,1.837079081082948
nb-gpt-j-6b-checkpoint-3000-inputs-refs-preds-examples_2500,0.5342562102007447,0.3030540782789211,0.6075017833310801,0.3069482249971789,0.2629714497932513
normistral-11b-checkpoint-1000-inputs-refs-preds-examples_2500,1.6015154798419948,2.9355034979933596,1.3021766640684875,1.1216819159783125,2.339422206368286
norskgpt-llama3-8b-checkpoint-500-inputs-refs-preds-examples_2500,0.6153190384948225,0.8585789356657577,0.44207232549100606,0.450255328201064,0.7779358341146038
norwai-mistral-7b-instruct-checkpoint-8000-inputs-refs-preds-examples_2500,0.7812178889154511,0.7174493407220913,0.5097883133947849,0.6920815589617819,0.3268529416750563
viking-13b-checkpoint-4000-inputs-refs-preds-examples_2500,1.1054076728623348,1.0261116967443014,0.7646460104835956,0.880916023284815,1.0566847722094306
