model,google/gemma-3-4b_theta,gpt-3.5-turbo_theta,google/gemini-2.5-flash-preview-05-20_theta,anthropic/claude-3-5-haiku-20241022_theta
GPT4o-mini,1.3923327680199709,2.0778228965184304,4.437581208831608,10.104507837882524
gemma-2-9b-checkpoint-9000-inputs-refs-preds-examples_2500,2.2062040128826794,3.982904460410918,2.5324109428179864,3.2504394123880913
gemma-2b-checkpoint-5000-inputs-refs-preds-examples_2500,0.7473177160359065,0.25827322818467247,0.43117229249985306,0.37127693550861157
llama-2-13b-chat-norwegian-checkpoint-3000-inputs-refs-preds-examples_2500,1.0652356018465523,1.2641820336722733,1.7162071073174154,1.8917782280816418
llama-3.1-8b-instruct-checkpoint-500-inputs-refs-preds-examples_2500,1.0371729067922446,1.5247487142738017,1.194400285493392,3.4460195734330528
nb-gpt-j-6b-checkpoint-3000-inputs-refs-preds-examples_2500,1.137120611112447,0.23393135068531729,0.3124999988260992,0.07039926645659514
normistral-11b-checkpoint-1000-inputs-refs-preds-examples_2500,0.8396832176400518,3.6204626135254263,1.0522227153548442,0.6679188651208964
norskgpt-llama3-8b-checkpoint-500-inputs-refs-preds-examples_2500,0.6082494036334796,0.2338684351785467,0.7170466851201038,0.34091801046226416
norwai-mistral-7b-instruct-checkpoint-8000-inputs-refs-preds-examples_2500,0.6816407914735106,0.5946852751644963,0.38740528452334916,0.5862024855455784
viking-13b-checkpoint-4000-inputs-refs-preds-examples_2500,0.9959783609153379,2.060596758616563,1.1022456635838669,1.3386510439155512
