dimension,judge,model,beta,theta,optimizer_success,n_comparisons
relevance,gpt-5-mini,GPT4o-mini,2.7945822096936035,16.355794033316243,True,520
relevance,gpt-5-mini,checkpoint-1000-gen1-inputs-refs-preds-1000-examples,-0.06416346633357639,0.9378516798242265,True,520
relevance,gpt-5-mini,checkpoint-1000-inputs-refs-preds-1000-examples,0.39972453750219916,1.4914138124781018,True,520
relevance,gpt-5-mini,checkpoint-10000-gen1-inputs-refs-preds-1000-examples,0.5249086656583022,1.6903044584836644,True,520
relevance,gpt-5-mini,checkpoint-10000-inputs-refs-preds-1000-examples,0.24926375787807897,1.2830804110095386,True,520
relevance,gpt-5-mini,checkpoint-1500-gen1-inputs-refs-preds-1000-examples,-0.31801363236550495,0.7275928695350504,True,520
relevance,gpt-5-mini,checkpoint-1500-inputs-refs-preds-1000-examples,0.2066547807931527,1.2295580314568397,True,520
relevance,gpt-5-mini,checkpoint-2000-gen1-inputs-refs-preds-1000-examples,0.05741780347646941,1.0590982128856816,True,520
relevance,gpt-5-mini,checkpoint-2000-inputs-refs-preds-1000-examples,0.4996099876984301,1.6480783744995577,True,520
relevance,gpt-5-mini,checkpoint-2500-gen1-inputs-refs-preds-1000-examples,-1.2574822387312765,0.28436909943513494,True,520
relevance,gpt-5-mini,checkpoint-2500-inputs-refs-preds-1000-examples,0.19594847454027375,1.216464224841084,True,520
relevance,gpt-5-mini,checkpoint-3000-gen1-inputs-refs-preds-1000-examples,-0.4544432881438931,0.6348012709889388,True,520
relevance,gpt-5-mini,checkpoint-3000-inputs-refs-preds-1000-examples,0.5610187406099127,1.752456890227729,True,520
relevance,gpt-5-mini,checkpoint-3500-gen1-inputs-refs-preds-1000-examples,-0.27007935274616957,0.7633189204809907,True,520
relevance,gpt-5-mini,checkpoint-3500-inputs-refs-preds-1000-examples,-0.006778832637618137,0.9932440918187464,True,520
relevance,gpt-5-mini,checkpoint-4000-gen1-inputs-refs-preds-1000-examples,0.12650713994126406,1.134857553963423,True,520
relevance,gpt-5-mini,checkpoint-4000-inputs-refs-preds-1000-examples,-0.06963793678400787,0.9327314665319777,True,520
relevance,gpt-5-mini,checkpoint-4500-gen1-inputs-refs-preds-1000-examples,0.38224949832928257,1.4655776987083367,True,520
relevance,gpt-5-mini,checkpoint-4500-inputs-refs-preds-1000-examples,0.036292249609940264,1.0369588530323182,True,520
relevance,gpt-5-mini,checkpoint-500-gen0-inputs-refs-preds-1000-examples,0.08659336249950922,1.0904531703990152,True,520
relevance,gpt-5-mini,checkpoint-500-gen1-inputs-refs-preds-1000-examples,0.005965360899246708,1.0059831890974915,True,520
relevance,gpt-5-mini,checkpoint-5000-gen1-inputs-refs-preds-1000-examples,-1.1903286700543294,0.30412129207711464,True,520
relevance,gpt-5-mini,checkpoint-5000-inputs-refs-preds-1000-examples,0.13210378847754445,1.1412267593086547,True,520
relevance,gpt-5-mini,checkpoint-5500-gen1-inputs-refs-preds-1000-examples,-0.6486503176457257,0.5227508484384021,True,520
relevance,gpt-5-mini,checkpoint-5500-inputs-refs-preds-1000-examples,0.349014293402786,1.4176694535176875,True,520
